context_id,n,roc_auc,average_precision
C1,8,0.625,0.7095238095238094
C2,4,0.75,0.8333333333333333
C4,12,0.5555555555555556,0.6398508898508899
C5,6,0.6666666666666667,0.7555555555555555
C6,34,0.5121107266435987,0.531352215010319
C7,2,1.0,1.0
C8,14,0.653061224489796,0.7099162742019884
